Well,NZB11 gCSC,nM Dex,Vehicle,Coating,Notes
A5,20000,0,Methanol,Invasion,
B5,20000,0,Methanol,Invasion,
C5,20000,0,Methanol,Invasion,
D5,20000,0,Methanol,Migration,
E5,20000,0,Methanol,Migration,
F5,20000,0,Methanol,Migration,
G5,20000,0,Methanol,Migration,No Chemoattractant
H5,20000,0,Methanol,Migration,No Chemoattractant
A6,20000,100,Methanol,Invasion,
B6,20000,100,Methanol,Invasion,
C6,20000,100,Methanol,Invasion,
D6,20000,100,Methanol,Migration,
E6,20000,100,Methanol,Migration,
F6,20000,100,Methanol,Migration,
G6,20000,0,Methanol,Migration,No Chemoattractant
H6,0,0,Methanol,None,
