[ECIS_Parameters]
Filename , C:\Users\jhuc964\Desktop\ECIS R\ECISR\inst\growth3_raw_TimeResample.abp
Version , 1.2.215.0 PC
FileType , RBA
ExportVersion , 1.2.252.0 PC
Instrument , Z-Theta
SerialNum , 1402
WellNum , 96
Date , 2018-11-06, 20:25:59
DateNum , 737370
TimeNum , 73559
ExptType , MFT
ArrayHolderA , 96W20idf
MiniArrayFormat , 0
TimeInterval , 36000
Wells , 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72
Frequency , 250, 500, 1000, 2000, 4000, 8000, 16000, 32000, 64000, 

[Headings]
Time (hrs), Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, 
Well ID, A07, A07, A07, A07, A07,B07, B07, B07, B07, B07,C07, C07, C07, C07, C07,D07, D07, D07, D07, D07,E07, E07, E07, E07, E07,F07, F07, F07, F07, F07,G07, G07, G07, G07, G07,H07, H07, H07, H07, H07,A08, A08, A08, A08, A08,B08, B08, B08, B08, B08,C08, C08, C08, C08, C08,D08, D08, D08, D08, D08,E08, E08, E08, E08, E08,F08, F08, F08, F08, F08,G08, G08, G08, G08, G08,H08, H08, H08, H08, H08,A09, A09, A09, A09, A09,B09, B09, B09, B09, B09,C09, C09, C09, C09, C09,D09, D09, D09, D09, D09,E09, E09, E09, E09, E09,F09, F09, F09, F09, F09,G09, G09, G09, G09, G09,H09, H09, H09, H09, H09,

[Data]
0.00,0.00,0.00,937.37,-2.74,0.01,0.02,0.16,13.42,-1.80,0.00,0.01,0.15,0.00,-2.23,0.01,0.02,0.13,0.00,-3.15,0.00,0.00,0.56,18.99,-3.07,0.00,0.03,0.20,0.00,-1.79,0.00,0.04,0.12,0.00,-2.79,0.00,0.04,0.00,32.82,-2.57,0.00,0.00,0.00,1000.00,-1.61,0.01,0.03,0.01,73.27,-1.58,0.00,0.03,0.01,12.16,-2.04,0.00,0.03,0.16,0.00,-1.30,0.00,0.04,0.00,0.00,-1.71,0.00,0.03,0.40,22.08,-0.64,0.00,0.00,0.65,17.68,-1.22,0.00,0.00,0.54,19.21,-1.91,0.00,0.02,0.08,0.00,-19.22,0.01,0.01,0.24,35.44,-0.48,0.00,0.01,0.34,38.36,0.56,0.00,0.02,0.09,0.00,-2.13,0.01,0.00,0.58,17.55,1.55,0.00,0.02,0.19,0.00,-2.08,0.01,0.05,0.13,127.08,4.09,0.00,0.00,0.00,0.00,0.00,0.00
10.00,0.00,3.49,13.54,-4.24,0.02,0.00,3.06,22.04,-3.85,0.02,0.00,2.94,24.06,-4.06,0.02,0.00,2.69,34.53,-4.07,0.02,0.00,1.97,68.87,-2.40,0.02,0.37,0.00,98.90,-2.42,0.02,0.00,1.40,132.52,-2.59,0.01,0.00,0.28,0.00,-2.14,0.00,0.00,3.70,10.19,-4.38,0.02,0.00,3.11,22.59,-4.00,0.02,0.00,2.66,36.83,-3.94,0.02,0.00,2.72,37.13,-3.71,0.02,0.00,2.10,54.10,-2.57,0.02,0.00,1.83,83.95,-2.19,0.01,0.00,1.08,128.50,-2.63,0.01,0.02,0.04,0.00,-2.15,0.00,0.00,3.10,15.12,-17.97,0.02,0.00,3.05,22.92,-3.79,0.02,0.00,2.62,32.98,-3.47,0.02,0.00,2.51,38.90,-3.71,0.02,0.00,2.37,35.71,-2.10,0.02,0.00,0.00,113.99,-2.76,0.05,0.00,1.14,156.20,0.16,0.01,0.00,0.00,0.00,0.00,0.00
20.00,0.00,4.06,6.62,-4.59,0.03,0.00,3.72,10.82,-4.81,0.03,0.00,3.58,13.26,-4.97,0.03,0.00,3.27,19.29,-5.00,0.03,0.00,2.54,38.61,-3.03,0.02,0.00,2.51,40.14,-3.28,0.02,0.00,0.00,106.30,-3.16,0.05,0.01,0.06,0.00,-2.13,0.00,0.00,4.29,4.88,-4.92,0.02,0.00,3.87,10.55,-4.89,0.03,0.00,3.28,19.76,-4.78,0.02,0.00,3.43,20.79,-4.92,0.03,0.00,2.75,31.35,-3.56,0.03,0.00,2.45,51.00,-3.06,0.02,0.00,0.00,140.13,-3.12,0.04,0.02,0.27,0.00,-2.16,0.00,0.00,3.91,7.09,-15.79,0.03,0.00,3.74,11.09,-4.66,0.03,0.00,3.31,17.55,-4.51,0.03,0.00,3.21,21.44,-4.81,0.03,0.00,3.07,20.62,-3.18,0.03,0.00,2.14,57.02,-3.50,0.02,0.00,1.50,120.41,-0.37,0.01,0.00,0.00,0.00,0.00,0.00
30.00,0.00,4.30,5.54,-4.75,0.03,0.00,3.86,9.35,-5.25,0.03,0.00,3.69,11.22,-5.43,0.03,0.00,3.47,15.23,-5.53,0.03,0.00,2.77,28.56,-3.53,0.03,0.00,2.84,31.40,-3.89,0.03,0.00,2.13,56.50,-3.66,0.02,0.00,0.28,24.88,-2.08,0.00,0.00,4.49,4.20,-5.28,0.02,0.00,3.96,9.82,-5.28,0.03,0.00,3.50,16.36,-5.28,0.02,0.00,3.54,18.07,-5.55,0.03,0.00,2.94,25.75,-4.19,0.03,0.00,2.78,36.69,-3.69,0.02,0.00,0.00,110.09,-3.55,0.05,0.02,0.26,0.02,-2.12,0.00,0.00,4.28,5.39,-13.79,0.03,0.00,3.92,9.95,-5.22,0.03,0.00,3.46,13.96,-5.08,0.03,0.00,3.36,18.06,-5.30,0.03,0.00,3.38,15.53,-3.82,0.03,0.00,2.45,44.74,-4.02,0.02,0.00,1.79,95.33,-0.61,0.01,0.00,0.00,0.00,0.00,0.00
40.00,0.00,4.83,2.86,-4.74,0.02,0.00,4.08,7.65,-5.48,0.03,0.00,3.99,7.62,-5.77,0.03,0.00,3.68,12.61,-5.84,0.03,0.00,2.99,22.27,-3.60,0.03,0.00,3.06,23.81,-4.21,0.03,0.00,2.27,45.74,-3.84,0.02,0.02,0.01,0.00,-2.02,0.00,0.00,5.15,1.94,-5.29,0.01,0.00,4.23,7.00,-5.51,0.03,0.00,3.71,12.63,-5.56,0.03,0.00,3.67,14.60,-5.92,0.03,0.00,3.12,19.78,-4.41,0.03,0.00,2.92,29.35,-4.02,0.03,0.35,0.00,93.43,-3.74,0.02,0.03,0.08,0.00,-2.07,0.00,0.00,4.96,2.67,-12.15,0.02,0.00,4.14,7.20,-5.41,0.03,0.00,3.80,10.00,-5.41,0.03,0.00,3.56,12.72,-5.65,0.03,0.00,3.59,13.31,-4.18,0.03,0.00,2.54,36.14,-4.23,0.02,0.00,1.87,76.22,-0.54,0.01,0.00,0.00,0.00,0.00,0.00
50.00,0.39,5.23,1.45,-4.59,0.01,0.00,4.69,3.34,-5.60,0.03,0.00,4.54,3.51,-5.82,0.03,0.00,3.90,7.80,-5.83,0.03,0.00,3.18,19.23,-3.88,0.03,0.00,3.22,19.81,-4.34,0.03,0.00,2.47,35.60,-3.94,0.02,0.02,0.01,0.00,-1.96,0.00,0.78,5.16,1.31,-5.20,0.01,0.00,4.75,3.68,-5.49,0.03,0.00,4.29,6.76,-5.66,0.03,0.00,4.03,9.56,-6.10,0.03,0.00,3.24,16.29,-4.20,0.03,0.00,3.10,24.16,-4.16,0.03,0.00,1.99,56.81,-3.81,0.02,0.03,0.12,0.00,-1.97,0.00,0.46,5.32,1.58,-10.96,0.01,0.00,4.71,3.76,-5.47,0.03,0.00,4.10,6.72,-5.51,0.03,0.00,3.95,8.01,-5.77,0.03,0.00,3.78,9.92,-4.27,0.03,0.00,2.78,29.15,-4.46,0.03,0.00,2.02,63.64,-0.50,0.02,0.00,0.00,0.00,0.00,0.00
60.00,1.11,4.94,1.13,-4.48,0.01,0.24,5.27,1.37,-5.62,0.01,0.16,5.13,1.34,-5.84,0.01,0.00,4.53,3.15,-5.84,0.03,0.00,3.21,14.50,-3.67,0.04,0.00,3.46,16.22,-4.56,0.03,0.00,2.65,30.62,-4.04,0.02,0.02,0.04,0.00,-1.84,0.00,1.46,4.88,1.06,-4.99,0.01,0.16,5.26,1.47,-5.45,0.01,0.00,4.90,2.63,-5.67,0.02,0.00,4.50,4.60,-6.31,0.03,0.00,3.54,10.60,-4.26,0.04,0.00,3.31,19.99,-4.33,0.03,0.00,2.02,47.54,-3.82,0.02,0.03,0.12,0.00,-1.84,0.00,1.22,4.97,1.20,-10.11,0.01,0.04,5.22,1.55,-5.36,0.01,0.00,4.68,3.11,-5.56,0.02,0.00,4.45,4.10,-5.78,0.03,0.00,4.10,6.74,-4.30,0.04,0.00,2.93,24.90,-4.52,0.03,0.00,2.12,58.84,-0.46,0.02,0.00,0.00,0.00,0.00,0.00
70.00,1.46,4.66,1.02,-4.14,0.01,0.82,5.04,1.19,-5.34,0.01,0.80,4.96,1.21,-5.64,0.01,0.18,5.12,1.26,-5.69,0.01,0.00,3.68,8.63,-3.70,0.04,0.00,3.75,12.06,-4.56,0.04,0.00,2.92,24.09,-4.11,0.03,0.01,0.22,0.00,-1.71,0.00,1.71,4.56,0.98,-4.74,0.01,0.82,5.04,1.23,-5.16,0.01,0.25,5.16,1.38,-5.51,0.01,0.00,5.15,1.81,-6.13,0.02,0.00,3.93,6.14,-4.23,0.04,0.00,3.55,14.60,-4.34,0.03,0.00,2.10,36.18,-3.79,0.03,0.03,0.08,0.00,-1.70,0.00,1.50,4.69,1.01,-9.51,0.01,0.73,5.03,1.32,-5.21,0.01,0.08,5.10,1.48,-5.44,0.01,0.00,5.07,1.48,-5.64,0.01,0.00,4.69,3.57,-4.26,0.03,0.00,3.12,20.23,-4.54,0.03,0.00,2.23,52.35,-0.43,0.02,0.00,0.00,0.00,0.00,0.00
80.00,1.43,4.39,1.00,-3.74,0.01,1.03,4.77,1.08,-5.03,0.01,1.09,4.68,1.07,-5.38,0.01,0.78,4.92,1.14,-5.43,0.01,0.00,4.19,4.76,-3.62,0.04,0.00,4.08,7.41,-4.28,0.04,0.00,3.03,21.49,-3.89,0.03,0.02,0.00,0.00,-1.55,0.00,1.61,4.28,0.95,-4.44,0.01,1.17,4.73,1.06,-4.87,0.01,0.76,4.91,1.22,-5.22,0.01,0.48,5.12,1.24,-5.58,0.01,0.00,4.52,2.81,-4.09,0.03,0.00,3.94,9.53,-4.08,0.04,0.00,2.34,33.15,-3.64,0.03,0.03,0.14,0.00,-1.52,0.00,1.42,4.40,0.97,-8.98,0.01,1.00,4.74,1.13,-5.01,0.01,0.62,4.83,1.25,-5.26,0.01,0.51,4.99,1.21,-5.38,0.01,0.00,5.22,1.56,-4.07,0.01,0.00,3.45,14.15,-4.29,0.04,0.00,2.34,45.13,-0.24,0.02,0.00,0.00,0.00,0.00,0.00
90.00,1.21,4.15,1.00,-3.33,0.01,1.02,4.53,1.03,-4.72,0.01,1.17,4.42,1.01,-5.05,0.01,1.09,4.62,1.02,-5.10,0.01,0.00,4.69,2.39,-3.20,0.03,0.00,4.54,3.60,-3.99,0.03,0.00,3.22,17.02,-3.59,0.03,0.02,0.17,0.00,-1.37,0.00,1.43,4.08,0.95,-4.08,0.01,1.12,4.50,1.02,-4.54,0.01,0.94,4.67,1.11,-4.85,0.01,0.85,4.83,1.17,-5.22,0.01,0.00,4.98,1.40,-3.75,0.02,0.00,4.26,5.54,-3.77,0.04,0.00,2.54,29.28,-3.42,0.03,0.03,0.11,0.00,-1.33,0.00,1.24,4.16,0.95,-8.46,0.01,1.01,4.46,1.05,-4.72,0.01,0.84,4.60,1.15,-5.00,0.01,0.78,4.65,1.10,-5.04,0.01,0.42,5.06,1.47,-3.69,0.01,0.00,3.60,10.34,-4.03,0.04,0.00,2.46,43.14,0.00,0.02,0.00,0.00,0.00,0.00,0.00
