C:\Users\jhuc964\Desktop\CellZScope work\Demo Data.cZsx
Parameter : CPE_A(sⁿ⁻¹·µF/cm²)

time (h),C1,C2,C3,C4,C5,D1,D2,D3,D4,D5
,standard,standard,standard,standard,standard,standard,standard,standard,standard,standard
0.16,21.30,21.13,18.87,22.61,22.58,20.90,22.73,21.56,24.29,21.30
0.72,21.65,21.46,19.23,22.95,23.15,21.54,23.11,22.06,24.76,21.95
1.27,22.15,21.86,19.48,23.25,23.49,21.81,23.73,22.81,25.12,22.26
1.82,22.42,22.21,19.74,23.55,23.80,22.09,23.78,23.12,25.34,22.64
2.38,22.83,22.58,20.06,23.82,24.18,22.36,24.10,23.43,25.74,22.71
2.93,23.19,22.86,20.16,24.08,24.33,22.65,24.49,23.76,25.86,23.06
3.49,23.11,23.08,20.44,24.05,24.41,22.93,24.56,23.82,26.01,23.26
4.04,23.35,23.20,20.55,24.05,24.52,22.93,24.57,23.98,26.30,23.29
4.59,23.62,23.35,20.69,24.29,24.69,23.17,24.89,24.25,26.48,23.41
5.15,23.50,23.55,20.81,24.30,24.80,23.33,24.97,24.27,26.59,23.64
5.70,23.72,23.72,20.97,24.37,25.01,23.42,25.22,24.46,26.81,23.73
6.26,23.80,23.83,20.97,24.36,25.02,23.65,25.30,24.64,26.98,23.93
6.81,23.87,24.00,21.11,24.60,25.10,23.76,25.47,24.95,27.26,24.04
7.36,23.90,24.01,21.14,24.53,25.15,23.86,25.78,24.98,27.09,24.24
7.92,23.89,24.10,21.19,24.63,25.01,23.99,25.94,25.29,27.43,24.62
8.47,24.06,24.18,21.19,24.71,25.20,24.30,26.38,25.82,27.63,24.82
9.02,24.00,24.16,21.25,24.73,25.19,24.37,28.00,27.14,27.96,26.61
9.58,24.18,24.28,21.31,24.66,25.25,24.66,28.24,27.13,28.57,26.71
10.13,24.29,24.24,21.30,24.60,25.43,25.31,28.25,27.22,30.01,26.66
10.68,24.44,24.40,21.39,24.90,25.59,25.95,28.11,27.26,30.20,26.69
11.24,24.35,24.70,21.42,24.94,25.52,25.99,28.16,27.06,30.23,26.64
11.79,24.62,24.65,21.69,25.10,25.86,26.08,28.14,27.16,30.15,26.56
12.34,24.89,25.01,21.75,25.29,25.99,26.12,27.90,27.04,30.31,26.60
12.90,25.11,25.26,21.89,25.54,26.38,26.16,27.88,27.13,30.25,26.58
13.45,25.80,25.65,22.10,25.91,26.93,26.10,27.83,26.87,30.19,26.58
14.01,27.18,26.92,22.74,27.15,27.93,26.07,27.71,26.70,30.19,26.57
14.56,27.27,26.85,23.34,27.75,28.08,26.25,27.72,26.68,30.08,26.44
15.11,27.12,26.98,23.42,27.72,27.89,26.08,27.63,26.51,30.02,26.48
15.67,26.93,26.79,23.31,27.42,27.83,26.08,27.71,26.49,29.99,26.42
16.22,26.78,26.69,23.33,27.42,27.70,26.01,27.52,26.57,29.89,26.37
16.77,26.56,26.56,23.19,27.13,27.50,25.98,27.48,26.44,29.94,26.20
17.33,26.45,26.44,23.17,27.04,27.37,25.95,27.41,26.30,29.82,26.20
17.88,26.46,26.47,23.19,26.95,27.13,26.09,27.53,26.37,29.94,26.30
18.44,26.26,26.36,23.07,26.82,27.05,25.95,27.44,26.38,29.93,26.30
18.99,26.23,26.21,23.04,26.91,26.83,26.02,27.57,26.47,29.91,26.26
19.54,26.19,26.03,23.00,26.71,26.59,25.93,27.37,26.44,29.97,26.24
20.10,26.00,25.91,22.78,26.60,26.54,26.09,27.38,26.36,29.90,26.32
20.65,25.96,26.02,22.80,26.53,26.41,26.00,27.40,26.46,29.91,26.30
21.20,25.95,25.81,22.66,26.37,26.13,26.08,27.52,26.57,29.86,26.38
21.76,25.84,25.77,22.70,26.36,26.23,25.95,27.26,26.67,29.96,26.31
22.31,25.72,25.64,22.71,26.26,25.99,26.05,27.25,26.46,29.99,26.28
22.86,25.62,25.64,22.61,26.29,26.10,26.06,27.41,26.41,29.80,26.44
23.42,25.69,25.50,22.65,26.03,26.08,26.00,27.26,26.28,29.91,26.29
