Well: C1 - MDCK II
Spectrum: Run.1 measured at 11/01/2008 2:17:37 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,8062.87,-81.83
1.29,6345.47,-82.03
1.67,5018.43,-81.95
2.15,3976.42,-81.81
2.78,3151.23,-81.26
3.59,2489.54,-80.67
4.64,1956.79,-80.89
5.99,1535.14,-80.10
7.74,1223.55,-79.86
10.00,974.01,-78.53
12.92,780.28,-78.04
16.68,619.51,-76.54
21.54,494.03,-75.29
27.83,395.87,-73.66
35.94,319.29,-71.83
46.42,258.56,-69.50
59.95,210.88,-67.00
77.43,173.97,-64.44
100.00,145.12,-61.76
129.15,121.60,-59.02
166.81,102.80,-56.31
215.44,87.44,-53.59
278.26,74.94,-50.75
359.38,64.62,-47.71
464.16,56.06,-44.27
599.48,49.23,-40.49
774.26,43.81,-36.36
1000.00,39.68,-32.02
1291.55,36.56,-27.74
1668.10,34.21,-23.57
2154.43,32.46,-19.70
2782.56,31.24,-16.30
3593.81,30.36,-13.34
4641.59,29.76,-10.85
5994.84,29.33,-8.78
7742.64,28.98,-6.94
10000.00,28.81,-5.62
12915.50,28.64,-4.49
16681.01,28.52,-3.60
21544.35,28.41,-2.97
27825.59,28.44,-2.17
35938.14,28.40,-1.96
46415.89,28.30,-1.94
59948.43,28.32,-1.78
77426.37,28.29,-1.83
100000.00,28.35,-1.78


Well: C1 - MDCK II
Spectrum: Run.2 measured at 11/01/2008 2:51:02 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,7906.89,-82.06
1.29,6251.75,-82.09
1.67,4887.95,-81.77
2.15,3888.99,-82.02
2.78,3066.79,-81.83
3.59,2443.79,-81.49
4.64,1907.16,-80.91
5.99,1520.76,-80.86
7.74,1200.80,-79.37
10.00,942.72,-78.84
12.92,762.66,-77.82
16.68,604.86,-76.56
21.54,480.78,-75.47
27.83,384.88,-73.59
35.94,309.89,-71.77
46.42,251.86,-69.60
59.95,205.55,-67.17
77.43,169.36,-64.55
100.00,140.70,-61.93
129.15,118.11,-59.20
166.81,99.89,-56.46
215.44,84.93,-53.65
278.26,72.75,-50.85
359.38,62.67,-47.78
464.16,54.37,-44.33
599.48,47.78,-40.57
774.26,42.48,-36.46
1000.00,38.40,-32.15
1291.55,35.37,-27.81
1668.10,33.11,-23.69
2154.43,31.40,-19.80
2782.56,30.18,-16.34
3593.81,29.36,-13.32
4641.59,28.71,-10.85
5994.84,28.32,-8.74
7742.64,27.97,-6.95
10000.00,27.77,-5.64
12915.50,27.62,-4.53
16681.01,27.51,-3.67
21544.35,27.45,-2.91
27825.59,27.44,-2.26
35938.14,27.38,-1.92
46415.89,27.27,-1.92
59948.43,27.30,-1.83
77426.37,27.28,-1.73
100000.00,27.32,-1.86


Well: C1 - MDCK II
Spectrum: Run.3 measured at 11/01/2008 3:24:24 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,7736.44,-81.91
1.29,6129.33,-81.95
1.67,4821.99,-81.60
2.15,3819.01,-81.56
2.78,2990.01,-81.13
3.59,2364.29,-81.61
4.64,1884.99,-80.92
5.99,1486.30,-80.14
7.74,1169.08,-79.95
10.00,957.49,-79.07
12.92,747.30,-78.04
16.68,595.82,-76.43
21.54,472.49,-75.30
27.83,379.10,-73.82
35.94,304.46,-71.94
46.42,246.76,-69.66
59.95,200.93,-67.27
77.43,166.09,-64.72
100.00,138.01,-61.96
129.15,115.80,-59.21
166.81,97.95,-56.45
215.44,83.31,-53.76
278.26,71.38,-50.86
359.38,61.46,-47.80
464.16,53.35,-44.38
599.48,46.85,-40.65
774.26,41.67,-36.49
1000.00,37.67,-32.20
1291.55,34.63,-27.87
1668.10,32.41,-23.73
2154.43,30.77,-19.87
2782.56,29.58,-16.44
3593.81,28.71,-13.48
4641.59,28.11,-11.00
5994.84,27.69,-8.88
7742.64,27.40,-7.08
10000.00,27.17,-5.84
12915.50,27.01,-4.61
16681.01,26.93,-3.69
21544.35,26.84,-3.09
27825.59,26.88,-2.48
35938.14,26.81,-2.07
46415.89,26.71,-2.08
59948.43,26.65,-1.93
77426.37,26.70,-1.77
100000.00,26.71,-1.88


Well: C1 - MDCK II
Spectrum: Run.4 measured at 11/01/2008 3:57:36 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,7598.12,-82.01
1.29,6041.92,-81.90
1.67,4770.86,-81.72
2.15,3790.55,-81.72
2.78,2983.97,-81.74
3.59,2334.99,-80.98
4.64,1858.88,-80.14
5.99,1473.27,-80.06
7.74,1168.36,-79.92
10.00,928.47,-79.49
12.92,739.73,-78.00
16.68,585.50,-76.92
21.54,466.71,-75.29
27.83,375.45,-73.84
35.94,301.04,-71.79
46.42,244.39,-69.78
59.95,199.33,-67.29
77.43,163.53,-64.73
100.00,135.88,-62.00
129.15,114.18,-59.23
166.81,96.55,-56.42
215.44,82.24,-53.69
278.26,70.42,-50.82
359.38,60.71,-47.76
464.16,52.69,-44.33
599.48,46.18,-40.55
774.26,41.12,-36.45
1000.00,37.22,-32.16
1291.55,34.22,-27.88
1668.10,31.99,-23.71
2154.43,30.38,-19.83
2782.56,29.23,-16.49
3593.81,28.40,-13.52
4641.59,27.77,-10.98
5994.84,27.33,-8.87
7742.64,27.05,-7.05
10000.00,26.83,-5.79
12915.50,26.70,-4.61
16681.01,26.60,-3.72
21544.35,26.52,-2.97
27825.59,26.49,-2.35
