Well,nM Canvallotoxin,nM Oleandrin,nM Nerifollin,nM Norepinephrin,nm Adenosine,nm Bay60-6058,nM ProscillaridinA,nM LanatosideC,nM ATP,nm Endothelin-1,ng/ml PDFGbb,ng/ml LPS,ng/ml TNFa,ng/ml IL1B,Vehicle,Cell line
A1,100,,,,,,,,,,,,,,DMSO,HCMVEC
A2,100,,,,,,,,,,,,,,DMSO,HCMVEC
A3,,100,,,,,,,,,,,,,DMSO,HCMVEC
A4,,100,,,,,,,,,,,,,DMSO,HCMVEC
A5,,,100,,,,,,,,,,,,DMSO,HCMVEC
A6,,,100,,,,,,,,,,,,DMSO,HCMVEC
A7,,,,200,,,,,,,,,,,DMSO,HCMVEC
A8,,,,200,,,,,,,,,,,DMSO,HCMVEC
A9,,,,,1000,,,,,,,,,,Water,HCMVEC
A10,,,,,1000,,,,,,,,,,Water,HCMVEC
A11,,,,,,10000,,,,,,,,,DMSO,HCMVEC
A12,,,,,,10000,,,,,,,,,DMSO,HCMVEC
B1,10,,,,,,,,,,,,,,DMSO,HCMVEC
B2,10,,,,,,,,,,,,,,DMSO,HCMVEC
B3,,10,,,,,,,,,,,,,DMSO,HCMVEC
B4,,10,,,,,,,,,,,,,DMSO,HCMVEC
B5,,,10,,,,,,,,,,,,DMSO,HCMVEC
B6,,,10,,,,,,,,,,,,DMSO,HCMVEC
B7,,,,20,,,,,,,,,,,DMSO,HCMVEC
B8,,,,20,,,,,,,,,,,DMSO,HCMVEC
B9,,,,,100,,,,,,,,,,Water,HCMVEC
B10,,,,,100,,,,,,,,,,Water,HCMVEC
B11,,,,,,1000,,,,,,,,,DMSO,HCMVEC
B12,,,,,,1000,,,,,,,,,DMSO,HCMVEC
C1,1,,,,,,,,,,,,,,DMSO,HCMVEC
C2,1,,,,,,,,,,,,,,DMSO,HCMVEC
C3,,1,,,,,,,,,,,,,DMSO,HCMVEC
C4,,1,,,,,,,,,,,,,DMSO,HCMVEC
C5,,,1,,,,,,,,,,,,DMSO,HCMVEC
C6,,,1,,,,,,,,,,,,DMSO,HCMVEC
C7,,,,2,,,,,,,,,,,DMSO,HCMVEC
C8,,,,2,,,,,,,,,,,DMSO,HCMVEC
C9,,,,,10,,,,,,,,,,Water,HCMVEC
C10,,,,,10,,,,,,,,,,Water,HCMVEC
C11,,,,,,100,,,,,,,,,DMSO,HCMVEC
C12,,,,,,100,,,,,,,,,DMSO,HCMVEC
D1,,,,,,,100,,,,,,,,DMSO,HCMVEC
D2,,,,,,,100,,,,,,,,DMSO,HCMVEC
D3,,,,,,,,100,,,,,,,DMSO,HCMVEC
D4,,,,,,,,100,,,,,,,DMSO,HCMVEC
D5,,,,,,,,,1000,,,,,,Water,HCMVEC
D6,,,,,,,,,1000,,,,,,Water,HCMVEC
D7,,,,,,,,,,100,,,,,Water,HCMVEC
D8,,,,,,,,,,100,,,,,Water,HCMVEC
D9,,,,,,,,,,,1000,,,,PDGF,HCMVEC
D10,,,,,,,,,,,1000,,,,PDGF,HCMVEC
D11,,,,,,,,,,,,,,,,HCMVEC
D12,,,,,,,,,,,,,,,,HCMVEC
E1,,,,,,,10,,,,,,,,DMSO,HCMVEC
E2,,,,,,,10,,,,,,,,DMSO,HCMVEC
E3,,,,,,,,10,,,,,,,DMSO,HCMVEC
E4,,,,,,,,10,,,,,,,DMSO,HCMVEC
E5,,,,,,,,,100,,,,,,Water,HCMVEC
E6,,,,,,,,,100,,,,,,Water,HCMVEC
E7,,,,,,,,,,10,,,,,Water,HCMVEC
E8,,,,,,,,,,10,,,,,Water,HCMVEC
E9,,,,,,,,,,,100,,,,PDGF,HCMVEC
E10,,,,,,,,,,,100,,,,PDGF,HCMVEC
E11,,,,,,,,,,,,,,,,HCMVEC
E12,,,,,,,,,,,,,,,,HCMVEC
F1,,,,,,,1,,,,,,,,DMSO,HCMVEC
F2,,,,,,,1,,,,,,,,DMSO,HCMVEC
F3,,,,,,,,1,,,,,,,DMSO,HCMVEC
F4,,,,,,,,1,,,,,,,DMSO,HCMVEC
F5,,,,,,,,,10,,,,,,Water,HCMVEC
F6,,,,,,,,,10,,,,,,Water,HCMVEC
F7,,,,,,,,,,1,,,,,Water,HCMVEC
F8,,,,,,,,,,1,,,,,Water,HCMVEC
F9,,,,,,,,,,,10,,,,PDGF,HCMVEC
F10,,,,,,,,,,,10,,,,PDGF,HCMVEC
F11,,,,,,,,,,,,,,,,HCMVEC
F12,,,,,,,,,,,,,,,,HCMVEC
G1,,,,,,,,,,,,10,,,Water,HCMVEC
G2,,,,,,,,,,,,10,,,Water,HCMVEC
G3,,,,,,,,,,,,10,,,Water,HCMVEC
G4,,,,,,,,,,,,,,1,Water,HCMVEC
G5,,,,,,,,,,,,,,1,Water,HCMVEC
G6,,,,,,,,,,,,,,1,Water,HCMVEC
G7,,,,,,,,,,,,,,,DMSO,HCMVEC
G8,,,,,,,,,,,,,,,DMSO,HCMVEC
G9,,,,,,,,,,,,,,,Water,HCMVEC
G10,,,,,,,,,,,,,,,Water,HCMVEC
G11,,,,,,,,,,,,,,,,HCMVEC
G12,,,,,,,,,,,,,,,,HCMVEC
H1,,,,,,,,,,,,,,1,Water,HCMVEC
H2,,,,,,,,,,,,,,1,Water,HCMVEC
H3,,,,,,,,,,,,,,1,Water,HCMVEC
H4,,,,,,,,,,,,,,,PDGF,HCMVEC
H5,,,,,,,,,,,,,,,PDGF,HCMVEC
H6,,,,,,,,,,,,,,,,HCMVEC
H7,,,,,,,,,,,,,,,,HCMVEC
H8,,,,,,,,,,,,,,,,HCMVEC
H9,,,,,,,,,,,,,,,,HCMVEC
H10,,,,,,,,,,,,,,,,HCMVEC
H11,,,,,,,,,,,,,,,,HCMVEC
H12,,,,,,,,,,,,,,,,HCMVEC
