C:\Users\jhuc964\Desktop\Instrument paper data\CellZScope\200722.cZsx
Parameter : CPE_A(sⁿ⁻¹·µF/cm²)

time (h),C1,C2,C3,A1,A2,A3,A4,A5,B1,B2,B4,B5,C4,A6,B3,B6,C5,C6,D1,D2,D3,D4,D5,D6
,with reference: average of D1,with reference: average of D1,with reference: average of D1,with reference: average of D1,with reference: average of D1,with reference: average of D1,with reference: average of D1,with reference: average of D1,with reference: average of D1,with reference: average of D1,with reference: average of D1,with reference: average of D1,with reference: average of D1,with reference: average of D1,with reference: average of D1,with reference: average of D1,with reference: average of D1,with reference: average of D1,as reference,as reference,with reference: same run of D1,with reference: same run of D1,with reference: same run of D1,with reference: same run of D1
0.03,,,,,46.78,,42.87,,,,,,48.97,,,,,,39.80,,,,,
0.35,,,,40.23,,,,,,,,,,,,,,,46.89,,,,,
0.67,47.36,53.34,52.48,,,45.03,,,53.34,,,,,,,,,,51.04,,,,,
0.99,48.49,55.01,54.54,45.40,51.26,47.78,,,55.86,52.45,,,,50.65,,51.62,,,53.03,,,,,
1.30,49.09,55.68,55.56,46.13,51.84,48.88,,,56.65,52.99,,,57.12,,,52.99,,,54.03,,,,,
1.62,49.52,55.78,55.95,46.54,51.79,49.20,,,56.90,53.19,,,56.88,51.88,,53.74,,,54.50,,,,,
1.94,49.52,55.63,55.95,47.00,51.76,49.44,52.10,,57.06,53.15,,,56.41,52.08,52.24,53.61,,,54.66,,,,,
2.26,49.51,55.37,55.86,47.17,51.50,49.45,52.08,,57.25,53.22,53.94,,55.95,51.98,52.68,53.85,,,55.00,,,,,
2.57,49.45,55.09,55.70,47.14,51.21,49.27,51.82,,57.22,53.00,53.64,,55.50,51.68,52.77,53.76,,,54.89,,,,,
2.89,49.17,54.70,55.42,47.27,51.10,49.29,51.76,,57.16,52.83,53.32,,54.98,51.59,52.78,53.54,,,54.48,,,,,
3.21,48.95,54.28,55.06,47.24,50.86,49.16,51.57,,56.87,52.47,52.81,,54.46,51.36,52.53,53.20,,,54.35,,,,,
3.52,48.77,54.00,54.82,47.24,50.63,49.01,51.39,,56.97,52.47,52.71,,54.11,51.18,52.65,53.18,,,54.42,,,,,
3.84,48.57,53.66,54.61,47.37,50.61,49.03,51.38,,56.93,52.15,52.31,,53.74,51.20,52.40,52.86,,,54.22,,,,,
4.16,48.55,53.51,54.51,47.20,50.30,48.79,51.08,,56.85,51.98,52.14,,53.57,50.94,52.28,52.73,,,54.16,,,,,
4.48,48.41,53.28,54.34,47.11,50.07,48.59,50.83,,56.81,51.87,52.11,,53.35,50.74,52.23,52.59,,,54.01,,,,,
4.79,48.21,52.97,54.12,46.97,49.79,48.30,50.52,,56.60,51.64,51.81,,53.05,50.46,52.01,52.33,,,54.02,,,,,
5.11,48.23,52.81,54.01,47.02,49.67,48.25,50.45,,56.39,51.37,51.51,,52.93,50.43,51.81,52.04,,,53.86,,,,,
5.43,47.94,52.47,53.65,46.93,49.48,48.11,50.27,,56.28,51.21,51.39,,52.56,50.26,51.74,51.84,,,54.01,,,,,
5.75,47.96,52.48,53.72,46.85,49.28,47.96,50.17,,56.20,51.14,51.33,,52.56,50.05,51.68,51.70,,,53.80,,,,,
6.06,47.73,52.30,53.40,46.76,49.14,47.84,50.04,,56.13,51.05,51.21,,52.24,49.92,51.61,51.56,,,53.84,,,,,
6.38,47.76,52.27,53.37,46.73,49.01,47.74,49.95,,55.91,50.85,51.05,,52.17,49.82,51.51,51.39,,,53.55,,,,,
6.70,47.51,51.92,53.08,46.53,48.83,47.55,49.77,,55.87,50.80,50.95,,51.84,49.61,51.41,51.25,,,53.39,,,,,
7.02,47.60,51.99,53.17,46.62,48.91,47.61,49.86,,55.65,50.63,50.75,,51.88,49.68,51.25,51.07,,,53.53,,,,,
7.33,47.25,51.57,52.77,46.52,48.80,47.48,49.74,,55.74,50.64,50.80,,51.49,49.53,51.31,51.10,,,53.30,,,,,
7.65,47.24,51.45,52.69,46.31,48.56,47.20,49.46,,55.64,50.57,50.72,,51.43,49.31,51.31,51.04,,,53.12,,,,,
7.97,47.11,51.32,52.56,46.32,48.55,47.16,49.49,,55.41,50.36,50.48,,51.34,49.26,51.10,50.79,,,53.10,,,,,
8.28,47.17,51.35,52.52,46.37,48.57,47.16,49.48,,55.32,50.30,50.40,,51.38,49.28,51.06,50.71,,,52.85,,,,,
8.60,46.97,51.08,52.33,46.31,48.48,47.05,49.40,,55.32,50.29,50.41,,51.14,49.20,51.10,50.77,,,52.91,,,,,
8.92,46.91,51.01,52.38,46.17,48.32,46.86,49.23,,55.17,50.14,50.25,,51.05,49.00,50.96,50.59,,,52.99,,,,,
9.24,46.84,50.89,52.24,46.13,48.29,46.83,49.20,,55.05,50.03,50.13,,50.91,48.92,50.88,50.49,,,52.62,,,,,
9.55,46.73,50.74,52.15,46.04,48.17,46.69,49.10,,54.87,49.87,49.99,,50.76,48.83,50.74,50.28,,,52.73,,,,,
9.87,46.60,50.58,52.00,46.08,48.19,46.69,49.11,,54.83,49.80,49.88,,50.62,48.83,50.69,50.25,,,52.49,,,,,
