[ECIS_Parameters]
Filename , C:\Users\jhuc964\Desktop\ECIS R\ECISR\inst\growth1_raw_TimeResample.abp
Version , 1.2.215.0 PC
FileType , RBA
ExportVersion , 1.2.252.0 PC
Instrument , Z-Theta
SerialNum , 1402
WellNum , 96
Date , 2018-10-17, 18:23:13
DateNum , 737350
TimeNum , 66193
ExptType , MFT
ArrayHolderA , 96W20idf
MiniArrayFormat , 0
TimeInterval , 36000
Wells , 1,  2,  3,  4,  5,  6,  7,  8,  9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24
Frequency , 250, 500, 1000, 2000, 4000, 8000, 16000, 32000, 64000, 

[Headings]
Time (hrs), Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, 
Well ID, A01, A01, A01, A01, A01,B01, B01, B01, B01, B01,C01, C01, C01, C01, C01,D01, D01, D01, D01, D01,E01, E01, E01, E01, E01,F01, F01, F01, F01, F01,G01, G01, G01, G01, G01,H01, H01, H01, H01, H01,A02, A02, A02, A02, A02,B02, B02, B02, B02, B02,C02, C02, C02, C02, C02,D02, D02, D02, D02, D02,E02, E02, E02, E02, E02,F02, F02, F02, F02, F02,G02, G02, G02, G02, G02,H02, H02, H02, H02, H02,A03, A03, A03, A03, A03,B03, B03, B03, B03, B03,C03, C03, C03, C03, C03,D03, D03, D03, D03, D03,E03, E03, E03, E03, E03,F03, F03, F03, F03, F03,G03, G03, G03, G03, G03,H03, H03, H03, H03, H03,

[Data]
0.00,0.00,0.00,1000.00,-0.84,0.02,0.00,0.00,1000.00,-0.76,0.00,0.00,0.00,1000.00,-0.81,0.00,0.00,0.00,1000.00,-0.73,0.00,0.00,0.07,322.58,0.12,0.00,0.00,0.15,0.00,0.11,0.00,0.00,0.10,71.32,-0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1000.00,-0.41,0.00,0.00,0.00,1000.00,-0.03,0.00,0.00,0.00,1000.00,-0.51,0.00,0.00,0.01,1000.00,-0.22,0.00,0.01,0.02,28.73,0.62,0.00,0.00,0.20,55.46,0.63,0.00,0.00,0.14,0.00,0.07,0.00,0.00,0.00,1000.00,-0.02,0.00,0.00,0.00,1000.00,0.17,0.01,0.00,0.00,1000.00,0.49,0.01,0.00,0.00,1000.00,0.30,0.01,0.00,0.00,1000.00,0.77,0.01,0.00,0.00,1000.00,1.13,0.00,0.00,0.00,1000.00,1.41,0.00,0.00,0.00,1000.00,0.70,0.00,0.00,0.00,1000.00,0.05,0.00
10.00,0.00,3.36,18.13,-2.04,0.02,0.00,3.17,16.93,-2.32,0.03,0.00,2.71,27.57,-2.34,0.03,0.00,2.27,48.11,-2.02,0.02,0.00,1.88,61.08,-0.72,0.02,0.00,1.65,91.56,-0.69,0.01,0.12,0.02,358.94,-0.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.79,9.79,-2.51,0.03,0.00,3.41,17.45,-2.38,0.02,0.00,2.89,27.07,-2.40,0.02,0.00,2.52,46.83,-2.21,0.01,0.00,2.00,76.51,-0.79,0.01,0.00,1.56,126.25,-0.65,0.01,0.11,0.02,371.21,-0.52,0.01,0.01,0.01,0.00,-0.22,0.00,0.00,3.27,16.67,-1.81,0.03,0.00,2.89,26.62,-1.70,0.02,0.00,2.84,31.05,-1.84,0.02,0.00,2.57,42.14,-1.25,0.02,0.00,2.25,69.27,-0.75,0.01,0.00,1.80,81.99,-0.40,0.01,0.00,0.00,247.90,-0.16,0.02,0.00,0.05,0.00,-0.09,0.00
20.00,0.00,4.89,4.33,-3.66,0.02,0.00,4.72,4.31,-3.99,0.03,0.00,3.98,9.74,-3.99,0.04,0.00,3.31,19.41,-3.59,0.03,0.00,2.76,28.02,-2.08,0.03,0.00,2.47,39.40,-1.90,0.02,0.00,1.45,140.05,-1.23,0.01,0.00,0.00,0.00,0.00,0.00,0.01,5.35,1.96,-4.04,0.01,0.00,4.80,4.29,-4.00,0.03,0.00,4.03,9.30,-4.06,0.03,0.00,3.47,18.14,-3.79,0.03,0.00,2.83,32.68,-2.19,0.02,0.00,2.21,59.80,-1.78,0.02,0.00,1.34,155.67,-1.23,0.01,0.00,0.23,24.94,-0.27,0.00,0.00,4.69,4.48,-3.45,0.03,0.00,4.10,8.85,-3.37,0.03,0.00,3.83,12.45,-3.41,0.03,0.00,3.40,17.82,-2.76,0.03,0.00,3.00,30.88,-2.15,0.02,0.00,2.51,38.26,-1.47,0.03,0.00,0.00,129.35,-0.83,0.04,0.00,0.02,0.00,-0.08,0.00
30.00,0.19,5.36,2.51,-4.40,0.01,0.00,5.52,1.93,-4.82,0.01,0.00,4.66,5.38,-4.91,0.03,0.00,4.03,11.57,-4.63,0.04,0.00,3.50,16.31,-3.07,0.04,0.00,3.04,23.48,-2.85,0.03,0.00,1.77,92.34,-1.81,0.01,0.00,0.00,0.00,0.00,0.00,0.85,5.32,1.70,-4.70,0.01,0.08,5.55,2.04,-4.91,0.01,0.00,4.87,4.44,-5.06,0.03,0.00,4.20,10.45,-4.67,0.03,0.00,3.53,17.47,-3.20,0.03,0.00,2.81,37.55,-2.72,0.03,0.00,0.00,143.32,-1.75,0.04,0.01,0.10,0.00,-0.26,0.00,0.21,5.39,2.04,-4.09,0.01,0.00,4.98,3.97,-4.35,0.03,0.00,4.59,6.22,-4.40,0.03,0.00,4.04,9.59,-3.76,0.03,0.00,3.56,17.50,-3.07,0.03,0.00,2.95,23.86,-2.31,0.03,0.34,0.00,99.47,-1.39,0.02,0.00,0.12,0.00,-0.01,0.00
40.00,1.11,5.22,1.67,-4.87,0.01,1.02,5.27,1.60,-5.20,0.01,0.00,5.23,3.20,-5.44,0.02,0.00,4.54,7.41,-5.27,0.04,0.00,4.07,10.52,-3.75,0.04,0.00,3.56,15.02,-3.56,0.04,0.00,2.07,64.04,-2.29,0.02,0.00,0.00,0.00,0.00,0.00,1.90,4.93,1.20,-5.07,0.01,0.85,5.41,1.68,-5.36,0.01,0.00,5.37,2.48,-5.57,0.02,0.00,4.82,6.15,-5.35,0.03,0.00,4.03,12.17,-3.91,0.03,0.00,3.28,22.77,-3.32,0.03,0.00,1.84,66.14,-2.17,0.02,0.01,0.03,0.00,-0.23,0.00,1.00,5.17,1.62,-4.54,0.01,0.02,5.66,1.96,-4.94,0.01,0.00,4.99,3.86,-4.97,0.02,0.00,4.64,5.70,-4.45,0.03,0.00,4.13,10.09,-3.72,0.03,0.00,3.57,16.52,-3.00,0.04,0.00,1.96,52.44,-1.85,0.02,0.01,0.06,0.00,0.05,0.00
50.00,2.20,4.69,1.15,-5.08,0.01,2.17,4.87,1.12,-5.49,0.01,0.55,5.66,1.77,-5.83,0.02,0.00,5.08,3.92,-5.70,0.03,0.00,4.62,6.38,-4.31,0.04,0.00,4.08,9.94,-4.13,0.04,0.00,2.33,44.61,-2.70,0.02,0.00,0.00,0.00,0.00,0.00,2.70,4.44,1.05,-5.25,0.01,2.03,4.99,1.17,-5.63,0.01,0.69,5.60,1.60,-5.93,0.02,0.00,5.37,3.11,-5.80,0.02,0.00,4.55,6.77,-4.44,0.04,0.00,3.77,15.74,-4.04,0.04,0.00,2.18,45.87,-2.61,0.02,0.01,0.10,0.00,-0.18,0.00,2.10,4.69,1.14,-4.78,0.01,1.00,5.39,1.49,-5.22,0.01,0.16,5.61,1.88,-5.40,0.01,0.00,5.23,3.10,-4.95,0.02,0.00,4.61,6.48,-4.22,0.03,0.00,4.06,10.06,-3.56,0.04,0.00,2.28,34.86,-2.29,0.02,0.01,0.03,0.00,0.11,0.00
60.00,2.66,4.21,1.08,-5.19,0.01,2.80,4.40,1.04,-5.58,0.01,1.95,5.10,1.24,-6.01,0.01,0.41,5.69,1.70,-5.91,0.02,0.00,5.23,3.21,-4.68,0.03,0.00,4.58,5.92,-4.50,0.04,0.00,2.79,29.83,-3.13,0.03,0.00,0.00,0.00,0.00,0.00,2.88,4.18,1.06,-5.41,0.01,2.83,4.52,1.03,-5.83,0.01,2.03,5.03,1.16,-6.14,0.01,0.70,5.60,1.74,-6.21,0.02,0.00,4.99,3.81,-4.78,0.03,0.00,4.18,9.39,-4.33,0.05,0.00,2.69,33.79,-3.10,0.03,0.01,0.00,0.00,-0.14,0.00,2.61,4.22,1.05,-4.93,0.01,2.24,4.82,1.11,-5.41,0.01,1.40,5.14,1.40,-5.64,0.01,0.44,5.52,1.75,-5.28,0.01,0.00,5.11,4.14,-4.63,0.03,0.00,4.54,6.60,-4.00,0.04,0.00,2.75,26.39,-2.76,0.03,0.01,0.00,0.00,0.16,0.00
70.00,2.71,3.93,1.10,-5.24,0.01,2.97,4.22,1.04,-5.69,0.01,2.88,4.55,1.03,-6.06,0.01,1.60,5.26,1.29,-5.92,0.01,0.65,5.54,1.74,-4.83,0.02,0.00,5.15,3.08,-4.74,0.03,0.00,3.16,20.87,-3.51,0.04,0.00,0.00,0.00,0.00,0.00,2.81,4.00,1.07,-5.49,0.01,2.97,4.27,1.03,-5.93,0.01,2.72,4.57,1.02,-6.24,0.01,2.03,5.04,1.16,-6.32,0.01,0.29,5.67,1.68,-5.05,0.02,0.00,4.64,5.64,-4.60,0.05,0.00,2.99,22.57,-3.47,0.04,0.02,0.00,0.00,-0.08,0.00,2.71,3.96,1.06,-5.01,0.01,2.75,4.38,1.03,-5.48,0.01,2.37,4.63,1.08,-5.73,0.01,1.71,5.10,1.27,-5.40,0.01,0.00,5.78,1.68,-4.93,0.01,0.00,5.09,3.37,-4.37,0.04,0.00,3.19,18.05,-3.11,0.04,0.00,0.05,0.02,0.23,0.00
80.00,2.48,3.86,1.13,-5.33,0.01,2.84,4.09,1.06,-5.79,0.01,2.90,4.31,1.03,-6.12,0.01,2.53,4.68,1.05,-5.97,0.01,2.01,5.08,1.14,-4.95,0.01,0.01,5.81,1.34,-4.89,0.01,0.00,3.50,15.66,-3.76,0.05,0.00,0.00,0.00,0.00,0.00,2.67,3.91,1.08,-5.60,0.01,2.88,4.20,1.04,-6.04,0.01,2.83,4.31,1.02,-6.32,0.01,2.76,4.62,1.03,-6.22,0.01,1.39,5.30,1.39,-5.20,0.02,0.00,5.28,2.76,-4.89,0.03,0.00,3.33,16.34,-3.76,0.04,0.02,0.01,0.00,-0.05,0.00,2.54,3.82,1.08,-5.10,0.01,2.85,4.20,1.03,-5.57,0.01,2.76,4.28,1.02,-5.80,0.01,2.49,4.62,1.07,-5.44,0.01,1.08,5.45,1.50,-5.04,0.02,0.00,5.64,1.81,-4.57,0.02,0.00,3.68,12.16,-3.43,0.04,0.01,0.01,0.00,0.27,0.00
90.00,2.34,3.74,1.14,-5.34,0.01,2.67,4.06,1.06,-5.85,0.01,2.78,4.22,1.05,-6.15,0.01,2.69,4.42,1.04,-5.95,0.01,2.59,4.72,1.04,-4.92,0.01,1.24,5.37,1.39,-4.98,0.02,0.00,3.82,10.78,-3.94,0.05,0.00,0.00,0.00,0.00,0.00,2.41,3.79,1.09,-5.63,0.01,2.70,4.13,1.05,-6.11,0.01,2.81,4.20,1.02,-6.39,0.01,2.76,4.38,1.03,-6.26,0.01,2.23,4.84,1.09,-5.23,0.01,0.02,5.86,1.28,-4.91,0.02,0.00,3.82,11.45,-4.03,0.05,0.01,0.19,29.59,0.01,0.00,2.32,3.72,1.10,-5.11,0.01,2.70,4.07,1.05,-5.62,0.01,2.61,4.17,1.04,-5.87,0.01,2.74,4.32,1.04,-5.46,0.01,1.92,5.06,1.19,-5.06,0.01,0.72,5.61,1.50,-4.65,0.02,0.00,3.97,8.18,-3.61,0.05,0.00,0.13,0.00,0.31,0.00
