[ECIS_Parameters]
Filename , C:\Users\jhuc964\Desktop\ECIS R\Growth3\ECIS_181106_MFT_1_TimeResample.abp
Version , 1.2.215.0 PC
FileType , RBA
ExportVersion , 1.2.186.0 PC
Instrument , Z-Theta
SerialNum , 1402
WellNum , 96
Date , 2018-11-06, 20:25:59
DateNum , 737370
TimeNum , 73559
ExptType , MFT
ArrayHolderA , 96W20idf
MiniArrayFormat , 0
TimeInterval , 180
Wells , 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72
Frequency , 250, 500, 1000, 2000, 4000, 8000, 16000, 32000, 64000, 

[Headings]
Time (hrs), Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, Rb (ohm.cm^2), Alpha (cm.ohm^0.5), CellMCap(uF/cm^2), Drift (%), RMSE, 
Well ID, A7, A7, A7, A7, A7,B7, B7, B7, B7, B7,C7, C7, C7, C7, C7,D7, D7, D7, D7, D7,E7, E7, E7, E7, E7,F7, F7, F7, F7, F7,G7, G7, G7, G7, G7,A8, A8, A8, A8, A8,B8, B8, B8, B8, B8,C8, C8, C8, C8, C8,D8, D8, D8, D8, D8,E8, E8, E8, E8, E8,F8, F8, F8, F8, F8,G8, G8, G8, G8, G8,A9, A9, A9, A9, A9,B9, B9, B9, B9, B9,C9, C9, C9, C9, C9,D9, D9, D9, D9, D9,E9, E9, E9, E9, E9,F9, F9, F9, F9, F9,G9, G9, G9, G9, G9,

[Data]
0.00,0.00,0.00,1000.00,-0.85,0.01,0.00,0.00,1000.00,0.11,0.01,0.00,0.00,1000.00,-0.33,0.01,0.00,0.00,1000.00,-1.27,0.01,0.00,0.00,1000.00,-1.19,0.00,0.00,0.00,1000.00,0.12,0.00,0.00,0.07,48.01,-0.91,0.00,0.00,0.00,1000.00,0.30,0.01,0.00,0.00,1000.00,0.33,0.00,0.00,0.00,1000.00,-0.14,0.00,0.00,0.00,1000.00,0.61,0.01,0.00,0.00,1000.00,0.20,0.01,0.01,0.13,141.38,1.29,0.00,0.01,0.05,172.58,0.70,0.00,0.00,0.00,1000.00,-17.65,0.01,0.00,0.00,1000.00,1.45,0.01,0.00,0.00,1000.00,2.52,0.01,0.00,0.00,1000.00,-0.22,0.01,0.01,0.06,237.12,3.52,0.00,0.00,0.00,1000.00,-0.18,0.01,0.00,0.00,1000.00,6.11,0.01
0.05,0.00,0.00,1000.00,-0.66,0.01,0.00,0.00,1000.00,-0.08,0.01,0.00,0.00,1000.00,-0.65,0.01,0.00,0.00,1000.00,-1.62,0.01,0.00,0.00,1000.00,-1.34,0.00,0.00,0.00,1000.00,-0.15,0.00,0.00,0.00,1000.00,-0.93,0.00,0.00,0.00,1000.00,0.38,0.01,0.00,0.00,1000.00,0.16,0.00,0.00,0.00,1000.00,-0.30,0.00,0.00,0.00,1000.00,0.25,0.00,0.01,0.04,0.00,0.05,0.00,0.00,0.01,203.08,1.09,0.00,0.01,0.04,175.30,0.45,0.00,0.00,0.00,1000.00,-17.99,0.01,0.00,0.00,1000.00,1.14,0.00,0.00,0.00,1000.00,2.12,0.00,0.00,0.00,1000.00,-0.48,0.01,0.01,0.24,194.24,3.13,0.00,0.00,0.00,1000.00,-0.66,0.01,0.00,0.00,1000.00,5.89,0.00
0.10,0.00,0.00,1000.00,-0.46,0.01,0.00,0.00,1000.00,-0.27,0.01,0.00,0.00,1000.00,-0.98,0.01,0.00,0.00,1000.00,-1.97,0.01,0.00,0.00,1000.00,-1.50,0.00,0.00,0.00,1000.00,-0.42,0.00,0.00,0.00,1000.00,-0.96,0.00,0.00,0.00,1000.00,0.47,0.01,0.00,0.00,1000.00,-0.01,0.00,0.00,0.00,1000.00,-0.47,0.00,0.00,0.00,1000.00,-0.11,0.00,0.01,0.09,0.00,-0.10,0.00,0.00,0.27,279.01,0.89,0.00,0.01,0.06,166.93,0.19,0.00,0.00,0.00,1000.00,-18.33,0.01,0.00,0.00,1000.00,0.84,0.00,0.00,0.00,1000.00,1.71,0.00,0.00,0.00,1000.00,-0.75,0.01,0.02,0.04,169.36,2.74,0.00,0.00,0.00,1000.00,-1.15,0.01,0.00,0.00,1000.00,5.66,0.00
0.15,0.00,0.00,761.89,-0.57,0.01,0.00,0.00,1000.00,-0.56,0.01,0.00,0.00,1000.00,-1.37,0.00,0.00,0.00,1000.00,-2.29,0.00,0.00,0.00,1000.00,-1.67,0.01,0.00,0.00,892.82,-0.77,0.00,0.00,0.00,1000.00,-1.10,0.00,0.00,0.00,699.73,0.39,0.01,0.00,0.00,1000.00,-0.26,0.01,0.00,0.00,1000.00,-0.69,0.00,0.00,0.00,1000.00,-0.49,0.00,0.02,0.01,20.16,-0.27,0.00,0.02,0.03,678.16,0.68,0.00,0.01,0.20,129.57,-0.07,0.00,0.00,0.00,1000.00,-18.68,0.01,0.00,0.00,1000.00,0.52,0.01,0.00,0.00,1000.00,1.30,0.00,0.00,0.00,1000.00,-1.01,0.00,0.03,0.03,151.65,2.34,0.00,0.00,0.00,1000.00,-1.63,0.01,0.03,0.02,763.92,5.43,0.00
0.20,0.00,0.01,510.33,-0.53,0.02,0.00,0.00,1000.00,-0.55,0.01,0.00,0.00,1000.00,-1.42,0.00,0.00,0.00,1000.00,-2.23,0.00,0.00,0.00,1000.00,-1.47,0.01,0.00,0.00,1000.00,-0.82,0.00,0.00,0.00,1000.00,-0.99,0.00,0.17,0.02,436.50,0.40,0.00,0.00,0.00,827.43,-0.30,0.01,0.00,0.00,1000.00,-0.74,0.01,0.00,0.00,1000.00,-0.56,0.00,0.00,0.37,91.78,-0.24,0.00,0.00,0.00,995.33,0.65,0.01,0.01,0.05,234.58,-0.18,0.00,0.00,0.00,1000.00,-18.95,0.01,0.08,0.09,689.93,0.38,0.00,0.00,0.00,987.52,1.12,0.01,0.00,0.00,1000.00,-1.07,0.00,0.04,0.07,263.35,2.16,0.00,0.00,0.00,1000.00,-1.79,0.01,0.00,0.00,782.10,5.38,0.00
0.25,0.00,1.38,295.90,-0.66,0.01,0.09,0.08,800.24,-0.59,0.00,0.00,0.00,1000.00,-1.45,0.01,0.00,0.00,1000.00,-2.18,0.01,0.00,0.01,918.75,-1.31,0.01,0.00,0.00,1000.00,-0.82,0.00,0.00,0.00,1000.00,-0.93,0.00,0.00,0.00,324.61,0.25,0.02,0.13,0.04,602.20,-0.39,0.00,0.00,0.00,825.62,-0.77,0.01,0.00,0.00,933.38,-0.62,0.01,0.00,0.01,266.81,-0.20,0.01,0.00,0.00,1000.00,0.64,0.01,0.01,0.07,370.15,-0.25,0.00,0.04,0.01,608.01,-19.20,0.01,0.11,0.02,537.57,0.25,0.00,0.00,0.00,758.19,0.98,0.01,0.00,0.00,1000.00,-1.12,0.00,0.00,0.00,337.14,1.98,0.01,0.00,0.00,1000.00,-1.89,0.01,0.00,0.01,794.83,5.18,0.00
0.30,0.00,1.47,240.21,-0.80,0.01,0.11,0.11,610.19,-0.62,0.00,0.09,0.02,707.00,-1.43,0.00,0.00,0.01,807.40,-2.10,0.01,0.00,0.81,621.47,-1.14,0.00,0.00,0.00,1000.00,-0.79,0.00,0.00,0.00,1000.00,-0.83,0.00,0.00,0.00,262.78,0.13,0.03,0.00,0.00,494.66,-0.42,0.02,0.11,0.14,675.22,-0.76,0.00,0.07,0.03,752.76,-0.62,0.00,0.00,0.01,437.75,-0.12,0.01,0.00,0.00,1000.00,0.66,0.01,0.00,0.00,1000.00,-0.30,0.00,0.07,0.01,422.37,-19.41,0.01,0.00,0.00,449.70,0.14,0.02,0.01,0.82,490.68,0.85,0.00,0.00,0.00,1000.00,-1.15,0.00,0.00,0.00,334.92,1.81,0.01,0.00,0.00,1000.00,-1.94,0.01,0.00,0.01,788.24,4.90,0.00
0.35,0.00,1.56,205.60,-0.88,0.01,0.13,0.01,503.34,-0.59,0.00,0.11,0.05,541.22,-1.36,0.00,0.09,0.24,635.52,-1.98,0.00,0.00,0.85,571.64,-0.93,0.00,0.00,0.00,1000.00,-0.73,0.01,0.00,0.00,1000.00,-0.70,0.01,0.00,1.54,171.24,0.03,0.00,0.18,0.08,425.09,-0.42,0.00,0.00,0.01,580.34,-0.73,0.01,0.07,0.44,629.12,-0.61,0.00,0.00,0.00,514.29,-0.07,0.01,0.00,0.00,950.88,0.68,0.01,0.00,0.00,1000.00,-0.32,0.00,0.10,0.16,332.29,-19.54,0.01,0.15,0.04,397.29,0.07,0.00,0.00,0.90,420.00,0.77,0.00,0.00,0.00,1000.00,-1.13,0.01,0.00,0.00,338.39,1.71,0.01,0.00,0.00,1000.00,-1.92,0.01,0.00,0.01,804.95,4.70,0.00
0.40,0.00,1.64,179.91,-0.96,0.01,0.15,0.14,436.47,-0.57,0.00,0.14,0.09,447.10,-1.30,0.00,0.12,0.04,538.01,-1.89,0.00,0.00,0.01,663.51,-0.79,0.01,0.00,0.00,997.14,-0.68,0.01,0.00,0.00,1000.00,-0.64,0.01,0.00,1.65,149.75,-0.08,0.00,0.00,0.00,375.13,-0.45,0.02,0.15,0.01,504.90,-0.74,0.00,0.10,0.24,551.29,-0.60,0.00,0.00,0.00,526.50,-0.03,0.01,0.00,0.00,911.73,0.69,0.01,0.00,0.00,1000.00,-0.33,0.00,0.11,0.41,271.65,-19.66,0.01,0.17,0.06,357.95,0.00,0.00,0.12,0.01,479.83,0.69,0.00,0.00,0.00,832.62,-1.12,0.01,0.08,0.03,330.53,1.62,0.00,0.00,0.00,1000.00,-1.90,0.01,0.02,0.01,790.51,4.50,0.00
0.45,0.00,1.71,160.61,-1.04,0.01,0.17,0.03,390.71,-0.56,0.00,0.16,0.05,385.01,-1.25,0.00,0.00,0.00,471.19,-1.81,0.02,0.10,0.01,622.13,-0.66,0.00,0.00,0.00,907.95,-0.64,0.01,0.00,0.00,1000.00,-0.59,0.01,0.00,1.74,133.07,-0.18,0.00,0.00,0.00,337.24,-0.48,0.02,0.00,0.00,452.99,-0.74,0.02,0.13,0.03,490.97,-0.60,0.00,0.00,0.00,513.75,0.01,0.01,0.07,0.05,881.52,0.70,0.00,0.00,0.00,1000.00,-0.35,0.00,0.00,1.18,175.63,-19.75,0.01,0.00,0.00,319.86,-0.06,0.02,0.13,0.05,435.52,0.63,0.00,0.00,0.00,699.98,-1.10,0.01,0.00,0.83,244.30,1.54,0.00,0.01,0.02,0.00,-1.87,0.00,0.00,0.00,805.83,4.33,0.01
